#,stock_tick,stock_marketName,stock_isInfoAvailable
789,032860,KOSDAQ,1
790,032940,KOSDAQ,1
791,032960,KOSDAQ,1
792,032980,KOSDAQ,1
793,033050,KOSDAQ,1
794,033100,KOSDAQ,1
795,033130,KOSDAQ,1
796,033160,KOSDAQ,1
797,033170,KOSDAQ,1
798,033180,KOSPI,1
799,033200,KOSDAQ,1
800,033230,KOSDAQ,1
801,033240,KOSPI,1
802,033250,KOSPI,1
803,033270,KOSPI,1
804,033290,KOSDAQ,1
805,033310,KOSDAQ,1
806,033320,KOSDAQ,1
807,033340,KOSDAQ,1
808,033500,KOSDAQ,1
809,033530,KOSPI,1
810,033540,KOSDAQ,1
811,033560,KOSDAQ,1
812,033640,KOSDAQ,1
813,033780,KOSPI,1
814,033790,KOSDAQ,1
815,033830,KOSDAQ,1
816,033920,KOSPI,1
817,034020,KOSPI,1
818,034120,KOSPI,1
819,034220,KOSPI,1
820,034230,KOSDAQ,1
821,034300,KOSPI,1
822,034310,KOSPI,1
823,034590,KOSPI,1
824,034730,KOSPI,1
825,03473K,KOSPI,1
826,034810,KOSDAQ,1
827,03481K,KOSDAQ,1
828,034830,KOSPI,1
829,034940,KOSDAQ,1
830,034950,KOSDAQ,1
831,035000,KOSPI,1
832,035080,KOSDAQ,1
833,035150,KOSPI,1
834,035200,KOSDAQ,1
835,035250,KOSPI,1
836,035290,KOSDAQ,1
837,035420,KOSPI,1
838,035460,KOSDAQ,1
839,035510,KOSPI,1
840,035600,KOSDAQ,1
841,035610,KOSDAQ,1
842,035620,KOSDAQ,1
843,035720,KOSPI,1
844,035760,KOSDAQ,1
845,035810,KOSDAQ,1
846,035890,KOSDAQ,1
847,035900,KOSDAQ,1
848,036000,KOSDAQ,1
849,036010,KOSDAQ,1
850,036030,KOSDAQ,1
851,036090,KOSDAQ,1
852,036120,KOSDAQ,1
853,036170,KOSDAQ,1
854,036180,KOSDAQ,1
855,036190,KOSDAQ,1
856,036200,KOSDAQ,1
857,036420,KOSPI,1
858,036460,KOSPI,1
859,036480,KOSDAQ,1
860,036530,KOSPI,1
861,036540,KOSDAQ,1
862,036560,KOSDAQ,1
863,036570,KOSPI,1
864,036580,KOSPI,1
865,036620,KOSDAQ,1
866,036630,KOSDAQ,1
867,036640,KOSDAQ,1
868,036670,KOSDAQ,1
869,036690,KOSDAQ,1
870,036710,KOSDAQ,1
871,036800,KOSDAQ,1
872,036810,KOSDAQ,1
873,036830,KOSDAQ,1
874,036890,KOSDAQ,1
875,036930,KOSDAQ,1
876,037030,KOSDAQ,1
877,037070,KOSDAQ,1
878,037230,KOSDAQ,1
879,037270,KOSPI,1
880,037330,KOSDAQ,1
881,037350,KOSDAQ,1
882,037370,KOSDAQ,1
883,037400,KOSDAQ,1
884,037440,KOSDAQ,1
885,037460,KOSDAQ,1
886,037560,KOSPI,1
887,037710,KOSPI,1
888,037760,KOSDAQ,1
889,037950,KOSDAQ,1
890,038010,KOSDAQ,1
891,038060,KOSDAQ,1
892,038070,KOSDAQ,1
893,038110,KOSDAQ,1
894,038290,KOSDAQ,1
895,038340,KOSDAQ,1
896,038390,KOSDAQ,1
897,038460,KOSDAQ,1
898,038500,KOSDAQ,1
899,038530,KOSDAQ,1
900,038540,KOSDAQ,1
901,038620,KOSDAQ,1
902,038680,KOSDAQ,1
903,038870,KOSDAQ,1
904,038880,KOSDAQ,1
905,038950,KOSDAQ,1
906,039010,KOSDAQ,1
907,039020,KOSDAQ,1
908,039030,KOSDAQ,1
909,039130,KOSPI,1
910,039200,KOSDAQ,1
911,039240,KOSDAQ,1
912,039290,KOSDAQ,1
913,039310,KOSDAQ,1
914,039340,KOSDAQ,1
915,039420,KOSDAQ,1
916,039440,KOSDAQ,1
917,039490,KOSPI,1
918,039560,KOSDAQ,1
919,039570,KOSPI,1
920,039610,KOSDAQ,1
921,039670,KOSDAQ,1
922,039740,KOSDAQ,1
